sentence,category
"עדות המתלוננת הייתה נקייה מסימני רצון לפגוע בנאשם או לנקום בו","אמינה כי לא נתפסת כנקמנית, אין חשש להאשמת שווא או העללה על הנאשם"
" עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
"לאחר צפייה בקלטות החקירה של המתלוננת, וכן עיון בתמלילים, התרשמתי כי הודעתה של המתלוננת אינה תוצר של הדרכה של החוקר, אלא מדובר בגרסה אותנטית של המתלוננת עצמה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
"גרסתה של המתלוננת איננה איתנה אך מתוך עצמה, אלא היא נתמכת ומתחזקת בשורה של ראיות חיצוניות, המעבות אותה","אמינה בגלל חיזוק חיצוני"
"מצאתי כי גרסת המתלוננת באשר להשתלשלות האירוע הרביעי מהימנה ונתמכת בראיות חיצוניות, בשונה מגרסת הנאשם המופרכת על פניה, לה לא נתתי כל אמון","אמינה בגלל שהנאשם לא אמין"
" אמנם היו סתירות באשר למשך הזמן שחלף מהאירוע הראשון לאירוע השני ואולם לטעמי אין בהם כדי להביא למסקנה שעדות המתלונן, שכאמור בעיקרי הדברים חזרה על עצמה, אינה נכונה","אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת) – יש פגמים אבל ההכרעה היא לטובת הנפגעת"
"לטעמי, בנסיבות שהובאו בפני, אין די בעדותה הנחרצת של המתלוננת בעדותה בפני כדי להסיר הספקות המתעוררים במקרה זה, ואפרט","עדות עם בעיות (למשל מעוררת תמיהות וספקות, או עדות יחידה לא מספקת) – יש פגמים ולכן ההכרעה היא כנגד הנפגעת"
"בענייננו נראה לי שלא היה זה בטוח להשתית את הרשעת המערער על עדותה היחידה של המתלוננת, הלוקה כאמור, בסתירות ובתמיהות","לא אמינה כי לא עקבית, הציגה סתירות"
"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא"
"מכאן נשאלת השאלה הכיצד אפשר לומר, בנשימה אחת, כי גירסת המתלוננת היא מהימנה ובה בעת להימנע מהרשעת שני הנאשמים 2 ו- 3 כשגם מעשיהם שלובים באותה גירסה?",עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט
גרסתה של המתלוננת לגבי מהלך השיחה שונה,עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט
" בית המשפט רשאי, אמנם, לבסס הרשעת נאשם בעבירת מין על עדותה היחידה של המתלוננת, אם היא מהימנה עליו (סעיף  ל (נוסח חדש))", עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט
